Designator,Mid X,Mid Y,Rotation,Layer
D3,130.75,-95.7525,270.0,top
D4,128.25,-95.8775,270.0,top
D8,125.75,-95.8775,270.0,top
J1,65.5,-33.49,180.0,top
J10,32.5,-33.21,180.0,top
J11,24.0,-33.21,180.0,top
J12,126.0,-33.49,180.0,top
J13,120.0,-33.49,180.0,top
J14,78.0,-33.49,180.0,top
J15,67.5,-8.29,0.0,top
J16,32.5,-95.0,0.0,top
J18,32.5,-72.0,0.0,top
J24,87.0,-33.49,180.0,top
J25,93.0,-33.49,180.0,top
J27,92.5,-118.0,0.0,top
J28,96.0,-33.49,180.0,top
J29,45.0,-33.21,180.0,top
J31,32.5,-118.0,0.0,top
J32,102.0,-33.49,180.0,top
J34,59.5,-33.49,180.0,top
J36,92.5,-95.0,0.0,top
J4,83.0,-80.244669,0.0,top
J5,115.5,-80.244669,0.0,top
J6,79.01,-71.0,90.0,top
J7,18.0,-33.21,180.0,top
J8,38.5,-33.21,180.0,top
J9,6.0,-33.29,180.0,top
JP10,15.0,-23.005,180.0,top
JP11,24.0,-23.005,180.0,top
JP13,39.0,-23.005,180.0,top
JP14,51.0,-23.005,180.0,top
JP15,57.0,-23.005,180.0,top
JP16,78.0,-23.005,180.0,top
JP17,81.0,-23.005,180.0,top
JP18,90.0,-23.005,180.0,top
JP19,99.0,-23.005,180.0,top
JP2,6.0,-23.005,180.0,top
JP20,105.0,-23.005,180.0,top
JP21,111.0,-23.005,180.0,top
JP22,123.0,-23.005,180.0,top
JP23,75.0,-23.005,180.0,top
JP24,84.0,-23.005,180.0,top
JP25,90.0,-30.98,180.0,top
JP26,99.0,-30.98,180.0,top
JP27,108.0,-31.005,180.0,top
JP28,114.0,-31.005,180.0,top
JP29,120.0,-23.005,180.0,top
JP3,18.0,-23.005,180.0,top
JP30,12.0,-23.005,180.0,top
JP31,30.0,-23.005,180.0,top
JP32,42.0,-23.005,180.0,top
JP33,54.0,-23.005,180.0,top
JP35,66.0,-23.005,180.0,top
JP36,72.0,-23.005,180.0,top
JP37,9.0,-23.005,180.0,top
JP38,21.0,-23.005,180.0,top
JP39,27.0,-23.005,180.0,top
JP4,36.0,-23.005,180.0,top
JP40,33.0,-23.005,180.0,top
JP41,45.0,-23.005,180.0,top
JP42,63.0,-23.005,180.0,top
JP43,60.0,-23.005,180.0,top
JP44,81.0,-30.98,180.0,top
JP45,84.0,-30.98,180.0,top
JP46,93.0,-23.005,180.0,top
JP47,102.0,-23.005,180.0,top
JP48,108.0,-23.005,180.0,top
JP49,114.0,-23.005,180.0,top
JP5,48.0,-23.005,180.0,top
JP50,129.0,-23.005,180.0,top
JP52,87.0,-23.005,180.0,top
JP53,96.0,-23.005,180.0,top
JP54,105.0,-31.005,180.0,top
JP55,111.0,-31.005,180.0,top
JP56,117.0,-23.005,180.0,top
JP57,126.0,-23.005,180.0,top
JP6,120.27,-71.0,90.0,top
JP7,92.27,-71.0,90.0,top
JP8,69.0,-23.005,180.0,top
JP9,3.0,-23.005,180.0,top
K1,67.175,-52.2,90.0,top
R3,130.75,-99.3375,90.0,top
R4,97.5,-71.0,180.0,top
R5,128.25,-99.34,90.0,top
R6,125.75,-99.34,270.0,top
R7,125.5,-71.0,180.0,top
RV1,121.5,-47.0,180.0,top
RV10,13.0,-47.0,180.0,top
RV11,13.0,-59.5,180.0,top
RV2,103.0,-47.0,180.0,top
RV3,85.0,-47.0,180.0,top
RV4,85.0,-59.5,180.0,top
RV5,102.95,-59.5,180.0,top
RV6,49.0,-59.5,180.0,top
RV7,49.0,-47.0,180.0,top
RV8,28.5,-59.5,180.0,top
RV9,28.5,-47.0,180.0,top
SW1,119.6,-61.0,0.0,top
